Age,Position,post_location,rel_status,photos,sig_other,fb_diary,work_pics,school_related,fb_signup,pust_wall,vacation,finance,online_meet,workplace,school_records,phone_num,humiliating,personality,personalize,anyone_see,write_comment,read_act,PIC,pd_planner,informed,transfer,person_accessed,storage,cybercrime,consent_required,research,sec_policy,measures,monitor,liable,moa,lose_license,delete,compliance,imprisonment,correction
23,Faculty,4,1,5,1,3,5,5,5,5,5,1,3,4,5,1,1,2,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
51,A-Team,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,5,5,3,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5
75,A-Team,2,2,3,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,5,5,5,5,5,5,5,4,4,4,5,4,4,4,5,4,4,4,4,5
23,Faculty,3,2,4,2,4,3,3,5,5,4,1,2,2,4,2,1,3,3,2,3,5,5,4,5,5,4,4,4,5,5,5,5,5,5,4,5,4,4,4,5
47,Unit/Subject Area Head,2,1,3,2,2,3,4,3,2,1,1,1,3,1,3,1,1,1,3,2,4,5,4,5,5,5,5,3,5,5,5,4,4,5,5,5,4,5,5,5
24,Non-teaching Staff,2,2,3,1,1,2,2,3,1,2,1,1,2,1,1,1,1,2,1,1,5,5,3,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5
54,Faculty,3,5,2,2,1,2,1,1,2,1,1,1,1,2,1,1,1,1,3,1,5,4,2,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,5
40,Non-teaching Staff,1,1,4,2,2,2,3,3,2,3,1,1,2,1,2,1,1,2,1,2,5,5,3,5,5,3,3,4,5,5,5,4,4,3,5,4,4,5,4,5
30,A-Team,1,1,3,2,2,2,3,3,3,2,1,1,2,1,1,1,2,2,1,2,5,5,3,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5
54,Non-teaching Staff,1,1,2,1,1,1,1,1,4,1,1,1,2,1,2,1,1,1,4,1,5,5,3,5,5,5,5,5,5,4,5,4,3,4,4,4,5,5,5,5
35,Non-teaching Staff,3,3,3,3,2,2,3,2,2,2,1,1,3,2,2,1,2,2,2,3,5,5,4,5,5,5,5,4,4,5,5,5,5,5,4,1,3,5,5,5
